,date,open,high,low,close,sign,change,diff,volume,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,shcode,value,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff,marketcap
0,20161114,14300,14650,13450,13900,3,0,0.00,796617,-15.27,68.14,94.34,4.59,-16587,7000,950140,11210,838,2,400,2.88,2,750,5.40,5,-450,-3.24,241390
1,20161111,14350,14900,13800,13900,5,800,-5.44,940183,-18.63,59.34,94.34,5.41,2171,0,950140,13421,-1825,5,-350,-2.38,2,200,1.36,5,-900,-6.12,241390
2,20161110,13850,14700,13700,14700,2,1200,8.89,1155453,-24.28,106.12,94.33,6.65,-11597,0,950140,16373,17215,2,350,2.59,2,1200,8.89,2,200,1.48,255282
3,20161109,14550,14800,11800,13500,5,1050,-7.22,1525960,-52.93,62.64,94.40,8.79,-16376,0,950140,20244,18254,3,0,0.00,2,250,1.72,5,-2750,-18.90,234443
4,20161108,13800,15150,13550,14550,2,1350,10.23,3241772,299.87,110.29,94.49,18.67,7248,0,950140,47218,-13109,2,600,4.55,2,1950,14.77,2,350,2.65,252678
5,20161107,12900,13300,12500,13200,2,450,3.53,810711,-20.83,99.43,94.45,4.67,7023,0,950140,10460,-18117,2,150,1.18,2,550,4.31,5,-250,-1.96,229233
6,20161104,13400,13800,12350,12750,5,950,-6.93,1024042,-11.32,55.65,94.41,5.90,10843,0,950140,13264,-6847,5,-300,-2.19,2,100,0.73,5,-1350,-9.85,221418
7,20161103,13350,14600,13000,13700,5,50,-0.36,1154783,-14.42,78.05,94.35,6.65,6708,0,950140,15756,-7379,5,-400,-2.91,2,850,6.18,5,-750,-5.45,237916
8,20161102,15050,15200,13000,13750,5,700,-4.84,1349421,-34.01,61.07,94.31,7.77,0,0,950140,18508,430,2,600,4.15,2,750,5.19,5,-1450,-10.03,238785
9,20161101,14800,16350,13500,14450,5,850,-5.56,2044915,-51.02,68.14,94.31,11.78,0,0,950140,30751,-6179,5,-500,-3.27,2,1050,6.86,5,-1800,-11.76,250941
10,20161031,14800,17300,14700,15300,2,1300,9.29,4175243,33.10,98.61,94.31,24.04,0,-1658,950140,66296,6038,2,800,5.71,2,3300,23.57,2,700,5.00,265702
11,20161028,16700,17600,14000,14000,5,3750,-21.13,3136981,-39.99,67.72,94.31,18.06,0,0,950140,50211,-11860,5,-1050,-5.92,5,-150,-0.85,5,-3750,-21.13,243126
12,20161027,16900,18650,16300,17750,2,550,3.20,5227543,-51.22,102.39,94.31,30.10,0,-660,950140,92056,-44,5,-300,-1.74,2,1450,8.43,5,-900,-5.23,308249
13,20161026,17500,19350,14600,17200,5,500,-2.82,10716831,18.00,86.43,94.31,61.71,4617,0,950140,184812,-1090,5,-200,-1.13,2,1650,9.32,5,-3100,-17.51,298698
14,20161025,15350,18050,14900,17700,2,3800,27.34,9081836,-4.92,104.87,94.28,52.30,-1899,-15067,950140,150708,17564,2,1450,10.43,2,4150,29.86,2,1000,7.19,307381
15,20161024,11250,13900,11250,13900,1,3200,29.91,9552043,-12.39,132.76,94.29,55.00,54674,150,950140,122374,-45356,2,550,5.14,2,3200,29.91,2,550,5.14,241390
16,20161021,9830,12050,9700,10700,2,770,7.75,10903350,-10.42,100.83,93.98,62.79,133592,-3500,950140,121353,-138292,5,-100,-1.01,2,2120,21.35,5,-230,-2.32,185818
17,20161020,8440,10500,8330,9930,2,1770,21.69,12171107,418.14,103.49,93.21,70.09,242264,2500,950140,117512,-226973,2,280,3.43,2,2340,28.68,2,170,2.08,172446
18,20161019,8470,8880,8050,8160,5,440,-5.12,2349017,-67.30,50.86,91.81,13.53,82551,0,950140,19708,-86533,5,-130,-1.51,2,280,3.26,5,-550,-6.40,141708
19,20161018,10050,10100,8600,8600,5,600,-6.52,7183902,-55.76,63.81,91.34,41.37,937,-10582,950140,66275,3780,2,850,9.24,2,900,9.78,5,-600,-6.52,149349
20,20161017,7540,9400,7520,9200,2,1900,26.03,16237461,-17.77,100.05,91.33,93.50,-20270,-78176,950140,142642,108457,2,240,3.29,2,2100,28.77,2,220,3.01,159769
21,20161014,8360,10700,7010,7300,5,1060,-12.68,19745285,0.00,66.78,91.45,113.70,-982759,-1687675,950140,180061,2983405,3,0,0.00,2,2340,27.99,5,-1350,-16.15,126773
